item_id,condition,cue_word,mass_VERB,mass_BEHAVE,mass_NEG,mass_ADV,mass_OTHER,mass_VerbOnly,mass_VPStart
22,SENTENCE,must,0.27119336147006834,0.24919219641014934,0.05540174906127504,0.0554374516250391,0.3240539774451463,0.27119336147006834,0.5757873069414927
22,JABBERWOCKY,must,0.21147809852845967,0.44847934901554254,0.034059176228765864,0.04160702627632418,0.17206596331016044,0.21147809852845967,0.6940166237727681
22,FULL_SCRAMBLED,must,0.0013807469949824736,0.006874692786368541,0.00129013902915176,0.0003065956407226622,0.36327059337781975,0.0013807469949824736,0.009545578810502775
22,CONTENT_SCRAMBLED,must,0.09852560437866487,0.5878779776066949,0.047169387700705556,0.07658485141291749,0.1401405716460431,0.09852560437866487,0.7335729696860653
22,FUNCTION_SCRAMBLED,must,0.008893133242963813,0.002975733805214986,0.007499791230657138,0.006214446009835228,0.5718449899286497,0.008893133242963813,0.019368658278835937
23,SENTENCE,might,0.20365616041453904,0.3693799397733528,0.11252141984732589,0.09455175280527328,0.174316640564939,0.20365616041453904,0.6855575200352177
23,JABBERWOCKY,might,0.12032276879472192,0.4873410365325981,0.0790354240925808,0.08916440615939791,0.1721845893880527,0.12032276879472192,0.6866992294199008
23,FULL_SCRAMBLED,might,0.011010754693415947,0.02482798265555175,0.005408481207268778,0.008339768457517494,0.3388965002450277,0.011010754693415947,0.041247218556236476
23,CONTENT_SCRAMBLED,might,0.12032276879472192,0.4873410365325981,0.0790354240925808,0.08916440615939791,0.1721845893880527,0.12032276879472192,0.6866992294199008
23,FUNCTION_SCRAMBLED,might,0.007272657720022835,0.0009132514533121139,0.018853177040000446,0.007192505756393075,0.5364190543623408,0.007272657720022835,0.027039086213335395
24,SENTENCE,can,0.2307713710470125,0.08667696733027697,0.029493724199710414,0.11693434829794569,0.27422345308877993,0.2307713710470125,0.3469420625769999
24,JABBERWOCKY,can,0.1733822603491717,0.39188278563597123,0.0165354123164434,0.10345647785288747,0.19634538537502522,0.1733822603491717,0.5818004583015863
24,FULL_SCRAMBLED,can,0.011101224263256881,0.04676633601047797,0.004833881976082921,0.009969521219318267,0.5264901435584761,0.011101224263256881,0.06270144224981777
24,CONTENT_SCRAMBLED,can,0.1733822603491717,0.39188278563597123,0.0165354123164434,0.10345647785288747,0.19634538537502522,0.1733822603491717,0.5818004583015863
24,FUNCTION_SCRAMBLED,can,0.01661851654353086,0.0005396310152718797,0.023552750251838006,0.005653627245919779,0.49523937977210153,0.01661851654353086,0.040710897810640745
25,SENTENCE,would,0.2171071490374743,0.3611693719867617,0.08991883802445955,0.1022838380667963,0.18423696758327424,0.2171071490374743,0.6681953590486955
25,JABBERWOCKY,would,0.18412159019135288,0.4186121324491978,0.07240550023925607,0.08592859691998456,0.18480575829016743,0.18412159019135288,0.6751392228798068
25,FULL_SCRAMBLED,would,0.0018926723423646763,0.005209707276662812,0.000642154918750748,0.00021065192413516343,0.10872059993562289,0.0018926723423646763,0.007744534537778236
25,CONTENT_SCRAMBLED,would,0.224797805884009,0.34777014557039365,0.08196292615684797,0.08474180093617178,0.19991333095458685,0.224797805884009,0.6545308776112506
25,FUNCTION_SCRAMBLED,would,0.007023050915449858,0.0017511037440272048,0.011386061582015827,0.009342750156065449,0.4391442407068098,0.007023050915449858,0.02016021624149289
26,SENTENCE,could,0.2041444282149314,0.25762152960305684,0.15263455369859003,0.13343194608023623,0.19440684328219504,0.2041444282149314,0.6144005115165783
26,JABBERWOCKY,could,0.14434969353897031,0.37007785699825035,0.1588298830538406,0.13558111029487918,0.1399192947174015,0.14434969353897031,0.6732574335910613
26,FULL_SCRAMBLED,could,0.15826283055503154,0.42437562717168476,0.08906280588780646,0.09558525338070467,0.19396630895789713,0.15826283055503154,0.6717012636145228
26,CONTENT_SCRAMBLED,could,0.14434969353897031,0.37007785699825035,0.1588298830538406,0.13558111029487918,0.1399192947174015,0.14434969353897031,0.6732574335910613
26,FUNCTION_SCRAMBLED,could,0.01578436404815875,0.00029710528906434774,0.027934122408623807,0.0014373817248269916,0.5059995493938914,0.01578436404815875,0.044015591745846905
27,SENTENCE,may,0.12680889070907142,0.43708233654979267,0.10810046661208617,0.099929722797242,0.18066819730665884,0.12680889070907142,0.6719916938709503
