set_id,cue_family,cue_word,condition,context_k,target_mass,mass_VERB,mass_NOUN,mass_ADJ,mass_NP_START,mass_PARTICIPLE,mass_CLAUSE_START
5,infinitival_to,to,FULL_SCRAMBLED,1,0.004438357638719026,0.004438357638719026,,,,,
5,infinitival_to,to,FULL_SCRAMBLED,2,0.004395718846353702,0.004395718846353702,,,,,
5,infinitival_to,to,FULL_SCRAMBLED,4,0.003296515544207068,0.003296515544207068,,,,,
5,infinitival_to,to,FULL_SCRAMBLED,8,0.003296515544207068,0.003296515544207068,,,,,
5,infinitival_to,to,FULL_SCRAMBLED,full,0.003296515544207068,0.003296515544207068,,,,,
5,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
5,infinitival_to,to,CONTENT_SCRAMBLED,2,0.25924052485788707,0.25924052485788707,,,,,
5,infinitival_to,to,CONTENT_SCRAMBLED,4,0.17325419570988743,0.17325419570988743,,,,,
5,infinitival_to,to,CONTENT_SCRAMBLED,8,0.17325419570988743,0.17325419570988743,,,,,
5,infinitival_to,to,CONTENT_SCRAMBLED,full,0.17325419570988743,0.17325419570988743,,,,,
5,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
5,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.019812567144981585,0.019812567144981585,,,,,
5,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.025192795365001075,0.025192795365001075,,,,,
5,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.025192795365001075,0.025192795365001075,,,,,
5,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.025192795365001075,0.025192795365001075,,,,,
5,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
5,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
5,infinitival_to,to,CUE_DELETED,4,2.5467546947766095e-05,2.5467546947766095e-05,,,,,
5,infinitival_to,to,CUE_DELETED,8,2.5467546947766095e-05,2.5467546947766095e-05,,,,,
5,infinitival_to,to,CUE_DELETED,full,2.5467546947766095e-05,2.5467546947766095e-05,,,,,
6,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
6,infinitival_to,to,SENTENCE,2,0.5007771049058647,0.5007771049058647,,,,,
6,infinitival_to,to,SENTENCE,4,0.6162825276041985,0.6162825276041985,,,,,
6,infinitival_to,to,SENTENCE,8,0.6162825276041985,0.6162825276041985,,,,,
6,infinitival_to,to,SENTENCE,full,0.6162825276041985,0.6162825276041985,,,,,
6,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
6,infinitival_to,to,JABBERWOCKY,2,0.5007771049058647,0.5007771049058647,,,,,
6,infinitival_to,to,JABBERWOCKY,4,0.501526918305899,0.501526918305899,,,,,
6,infinitival_to,to,JABBERWOCKY,8,0.501526918305899,0.501526918305899,,,,,
6,infinitival_to,to,JABBERWOCKY,full,0.501526918305899,0.501526918305899,,,,,
6,infinitival_to,to,FULL_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
6,infinitival_to,to,FULL_SCRAMBLED,2,0.13111906727863243,0.13111906727863243,,,,,
6,infinitival_to,to,FULL_SCRAMBLED,4,0.06436134308751207,0.06436134308751207,,,,,
6,infinitival_to,to,FULL_SCRAMBLED,8,0.06436134308751207,0.06436134308751207,,,,,
6,infinitival_to,to,FULL_SCRAMBLED,full,0.06436134308751207,0.06436134308751207,,,,,
6,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
6,infinitival_to,to,CONTENT_SCRAMBLED,2,0.5007771049058647,0.5007771049058647,,,,,
6,infinitival_to,to,CONTENT_SCRAMBLED,4,0.523242950810527,0.523242950810527,,,,,
6,infinitival_to,to,CONTENT_SCRAMBLED,8,0.523242950810527,0.523242950810527,,,,,
6,infinitival_to,to,CONTENT_SCRAMBLED,full,0.523242950810527,0.523242950810527,,,,,
6,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.004194521283352515,0.004194521283352515,,,,,
6,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.010434826617711224,0.010434826617711224,,,,,
6,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.025097530378843658,0.025097530378843658,,,,,
6,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.025097530378843658,0.025097530378843658,,,,,
6,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.025097530378843658,0.025097530378843658,,,,,
6,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
6,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
6,infinitival_to,to,CUE_DELETED,4,0.0008424971820204519,0.0008424971820204519,,,,,
6,infinitival_to,to,CUE_DELETED,8,0.0008424971820204519,0.0008424971820204519,,,,,
6,infinitival_to,to,CUE_DELETED,full,0.0008424971820204519,0.0008424971820204519,,,,,
7,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
7,infinitival_to,to,SENTENCE,2,0.4914426767936675,0.4914426767936675,,,,,
7,infinitival_to,to,SENTENCE,4,0.4995536373244249,0.4995536373244249,,,,,
7,infinitival_to,to,SENTENCE,8,0.4995536373244249,0.4995536373244249,,,,,
7,infinitival_to,to,SENTENCE,full,0.4995536373244249,0.4995536373244249,,,,,
7,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
7,infinitival_to,to,JABBERWOCKY,2,0.4914426767936675,0.4914426767936675,,,,,
7,infinitival_to,to,JABBERWOCKY,4,0.4545478543077479,0.4545478543077479,,,,,
7,infinitival_to,to,JABBERWOCKY,8,0.4545478543077479,0.4545478543077479,,,,,
7,infinitival_to,to,JABBERWOCKY,full,0.4545478543077479,0.4545478543077479,,,,,
7,infinitival_to,to,FULL_SCRAMBLED,1,0.0032777688320493326,0.0032777688320493326,,,,,
7,infinitival_to,to,FULL_SCRAMBLED,2,0.0006133522983873263,0.0006133522983873263,,,,,
7,infinitival_to,to,FULL_SCRAMBLED,4,0.003192236905306345,0.003192236905306345,,,,,
7,infinitival_to,to,FULL_SCRAMBLED,8,0.003192236905306345,0.003192236905306345,,,,,
7,infinitival_to,to,FULL_SCRAMBLED,full,0.003192236905306345,0.003192236905306345,,,,,
7,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
7,infinitival_to,to,CONTENT_SCRAMBLED,2,0.2790403300168691,0.2790403300168691,,,,,
7,infinitival_to,to,CONTENT_SCRAMBLED,4,0.2611559512661188,0.2611559512661188,,,,,
7,infinitival_to,to,CONTENT_SCRAMBLED,8,0.2611559512661188,0.2611559512661188,,,,,
7,infinitival_to,to,CONTENT_SCRAMBLED,full,0.2611559512661188,0.2611559512661188,,,,,
7,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
7,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.009475466053117998,0.009475466053117998,,,,,
7,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.007893395246355794,0.007893395246355794,,,,,
7,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.007893395246355794,0.007893395246355794,,,,,
7,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.007893395246355794,0.007893395246355794,,,,,
7,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
7,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
7,infinitival_to,to,CUE_DELETED,4,0.0004149462911300361,0.0004149462911300361,,,,,
7,infinitival_to,to,CUE_DELETED,8,0.0004149462911300361,0.0004149462911300361,,,,,
7,infinitival_to,to,CUE_DELETED,full,0.0004149462911300361,0.0004149462911300361,,,,,
